Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
537,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,5,1,3,2,,,,,,,
538,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,22,18,11,11,,,,,,,
539,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,4,0,4,0,,,,,,,
540,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,28,9,18,10,,,,,,,
541,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,1,0,0,1,,,,,,,
542,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,11,4,6,5,,,,,,,
543,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,0,3,0,0,,,,,,,
544,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,8,2,4,4,,,,,,,
545,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,23,4,9,14,,,,,,,
546,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0,,,,,,,
547,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,0,0,0,0,,,,,,,
548,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,57,18,24,33,,,,,,,
549,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0,,,,,,,
550,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,1,1,0,1,,,,,,,
551,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0,,,,,,,
552,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0,,,,,,,
553,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,14,4,9,5,,,,,,,
554,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,2,0,1,1,,,,,,,
555,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,163,30,71,92,,,,,,,
556,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,1,0,0,1,,,,,,,
557,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0,,,,,,,
558,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,17,16,8,9,,,,,,,
559,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,9,7,2,7,,,,,,,
560,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,1,0,0,1,,,,,,,
561,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,259,105,134,125,,,,,,,
562,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,43,26,29,14,,,,,,,
563,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,102,37,53,49,,,,,,,
564,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,24,17,9,15,,,,,,,
565,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,15,6,9,6,,,,,,,
566,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,28,13,9,19,,,,,,,
567,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,20,13,11,9,,,,,,,
568,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0,0,0,0,,,,,,,
569,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0,,,,,,,
570,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0,,,,,,,
571,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0,,,,,,,
572,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0,,,,,,,
573,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0,,,,,,,
574,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0,,,,,,,
575,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0,,,,,,,
576,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0,,,,,,,
577,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0,,,,,,,
578,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0,,,,,,,
579,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0,,,,,,,
580,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,10,4,5,5,,,,,,,
581,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,12,3,7,5,,,,,,,
582,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0,,,,,,,
583,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0,,,,,,,
584,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0,,,,,,,
585,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0,,,,,,,
586,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,36,3,19,17,,,,,,,
587,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0,,,,,,,
588,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,0,0,0,0,,,,,,,
589,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,1,0,1,0,,,,,,,
590,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0,,,,,,,
591,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0,,,,,,,
592,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0,,,,,,,
593,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0,,,,,,,
594,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,20,17,12,8,,,,,,,
595,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,10,5,5,5,,,,,,,
596,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,4,0,2,2,,,,,,,
597,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,14,4,6,6,,,,,,,
598,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,1335,164,820,515,,,,,,,
599,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1043,252,578,465,,,,,,,
600,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,2,0,0,2,,,,,,,
601,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,3,2,2,1,,,,,,,
602,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0,0,0,0,,,,,,,
603,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0,,,,,,,
604,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,0,0,0,0,,,,,,,
605,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),1042,413,535,507,,,,,,,
606,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),1058,470,534,524,,,,,,,
607,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),37,21,17,20,,,,,,,
608,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,44,22,17,27,,,,,,,
609,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,88,53,46,42,,,,,,,
610,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,25,9,9,16,,,,,,,
611,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,2,0,1,1,,,,,,,
612,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,1,0,0,1,,,,,,,
613,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0,,,,,,,
614,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0,,,,,,,
615,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,0,0,2,0,,,,,,,
616,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0,,,,,,,
617,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,0,0,0,0,,,,,,,
618,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,294,125,157,137,,,,,,,
619,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0,,,,,,,
620,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,0,0,0,,,,,,,
621,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0,,,,,,,
622,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,2,2,1,1,,,,,,,
623,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,356,159,153,203,,,,,,,
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,0,0,0,0,,,,,,,
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",1,3,1,0,,,,,,,
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0,,,,,,,
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,23,19,11,12,,,,,,,
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,4,8,3,1,,,,,,,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0,,,,,,,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0,,,,,,,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,36,13,18,18,,,,,,,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,0,0,0,,,,,,,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,1805,635,872,933,,,,,,,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,9,0,6,3,,,,,,,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,6,1,6,0,,,,,,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0,,,,,,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0,,,,,,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0,0,0,0,,,,,,,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,1,0,,,,,,,
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,7,4,5,2,,,,,,,
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0,,,,,,,
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0,,,,,,,
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,1,3,0,1,,,,,,,
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0,,,,,,,
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,0,13,0,0,,,,,,,
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,0,0,0,,7,,,,,
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,0,1,0,0,,1,,,,,
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,1,1,1,0,,0,,,,,
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0,,2,,,,,
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,31,8,14,17,,8,,,,,
651,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,,60,,,,,
652,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0,,0,,,,,
653,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0,0,0,0,,0,,,,,
654,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0,,65,,,,,
655,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,,3,,,,,
656,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,1,0,0,,1,,,,,
657,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,34,10,19,15,,1,,,,,
658,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,1,0,0,,2,,,,,
659,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,,4,,,,,
660,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,,1,,,,,
661,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,,18,,,,,
662,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0,,0,,,,,
663,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,1,0,0,,1,,,,,
664,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,1,0,1,0,,3,,,,,
665,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,,5,,,,,
666,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,0,1,0,0,,0,,,,,
667,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,,1,,,,,
668,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,36,5,18,18,,36,,,,,
669,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,0,0,0,0,,0,,,,,
670,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,11,4,11,0,,1,,,,,9245
671,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,1,1,1,0,,0,,,,,9227
672,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,1,9,1,0,,0,,,,,18
673,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,,0,,,,,
674,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,24,17,13,11,,3,,,,,
675,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,The Karnataka Micro Loan And Small Loan (Prevention of Coercive Actions) Ordinance 2025,1,0,1,0,,,,,,,
676,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Information Technology Act 2000, 2009",16,12,8,8,,,,,,,
677,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),CSAM (Child Pornography). Cyber Tip Line,12,6,7,5,,,,,,,
678,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Online Money Transfer,272,95,122,150,,,,,,,
679,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Credit Card Fraud,104,48,49,55,,,,,,,
680,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Loan App,42,21,20,22,,,,,,,
681,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",5,0,5,0,,,,,,,
682,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Gifts, iPhone & Lottery Fraud",25,15,16,9,,,,,,,
683,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Deep Fake/Deep Nudes,17,2,10,7,,,,,,,
684,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Investment Fraud (Part Time Job, Task, Review)",223,243,147,76,,,,,,,
685,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Card Skimming,0,2,0,0,,,,,,,
686,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Job Fraud,69,67,41,28,,,,,,,
687,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Business Fraud,24,8,14,10,,,,,,,
688,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Hacking of Accounts & Ids,41,11,21,20,,,,,,,
689,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Phishing (Taking Password & Information),4,0,3,1,,,,,,,
690,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Email Spoofing / Fraud,11,7,5,6,,,,,,,
691,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),SIM card Swapping / SIM Jacking / SIM Cloning,3,0,2,1,,0,,,,,
692,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),108,43,55,53,,,,,,,
693,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Crypto Currency, Bitcoin, etc.",16,13,12,4,,,,,,,
694,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Remote Access Fraud  (Any Desk/ Team Viewer),2,2,2,0,,,,,,,
695,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),OLX Fraud,25,14,14,11,,,,,,,
696,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Data Theft,11,6,8,3,,,,,,,
697,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fedex,0,4,0,0,,,,,,,
698,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"OTP Frauds (KYC Update, Apk Link)",238,48,139,99,,,,,,,
699,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Matrimony Fraud,25,9,14,11,,,,,,,
700,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Sextortion and Revenge Porn,13,4,9,4,,,,,,,
701,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Advertising Frauds,21,2,12,9,,,,,,,
702,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Investment Fraud (Trading & Share Trading),559,288,350,209,,,,,,,
703,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fake Customer Care,85,24,49,36,,,,,,,
704,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),ATM Fraud,2,3,1,1,,,,,,,
705,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Digital Arrest,30,23,18,12,,,,,,,
706,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),AEPS (Aadhaar),0,0,0,0,,,,,,,
707,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Others ,284,161,106,178,,,,,,,
708,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0,,,,,,,
709,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,0,0,0,0,,,,,,,
710,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0,,,,,,,
711,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,2,2,2,0,,,,,,,
712,B - SPECIAL & LOCAL LAWS,POCSO,Rape,506,262,257,249,,,,,,,
713,B - SPECIAL & LOCAL LAWS,POCSO,Others ,194,84,102,92,,,,,,,
714,B - SPECIAL & LOCAL LAWS,Aadhar Act,Impersonation,1,0,0,1,,,,,,,
715,B - SPECIAL & LOCAL LAWS,Aadhar Act,Offence by Individual,0,0,0,0,,,,,,,
716,B - SPECIAL & LOCAL LAWS,Aadhar Act,Offence by Company,0,0,0,0,,,,,,,
717,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0,,,,,,,
718,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,4,1,3,1,,,,,,,
719,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,82,59,42,40,,,,,,,
720,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,1029,452,485,544,,412,,,,,
721,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,11,6,7,4,,13,,,,,
722,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,74,35,37,37,,399,,,,,
723,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0,,,,,,,
724,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,2,0,1,1,,,,,,,
725,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,62,33,36,26,668,,,,,,
726,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0,37,,738,,,327,
727,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,6,5,1,5,631,,34,,,11,
728,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,146,65,72,74,213,,704,,,316,
729,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0,16,,459-32,,,,
730,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,17,9,12,5,197,,,,,,
731,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,451,199,242,209,,,,,1000,,
732,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,32,16,17,15,,408,,,22,,
733,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,30,22,17,13,,,,,978,,
734,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0,,,,,,,
735,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0,,,224,,,,
736,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,23,15,10,13,,,,393,,,
737,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,3,1,2,1,,,,29,,,
